"Call Back","Call Back"
"Call Backs","Call Backs"
"Enable Admin Email","Enable Admin Email"
"Send Emails To","Send Emails To"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Config Call Back","Config Call Back"
"Manage Call Back","Manage Call Back"
"Thank you! Your request is accepted, and in the near future our experts will call you.","Thank you! Your request is accepted, and in the near future our experts will call you."
"An error occurred while saving the request.","An error occurred while saving the request."
"Request a Callback","Request a Callback"
"First Name","First Name"
"Last Name","Last Name"
"Phone","Phone"
"Send","Send"
"New Call Back","New Call Back"
"All Call Back","All Call Back"
"Customer Information","Customer Information"
"Please submit the form and we will call you back.","Please submit the form and we will call you back."